TEAM_ID,SEASON_YEAR,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PF,PTS,Weighted_PER
1610612737,2018,0.45178048780487806,0.3509756097560976,0.7518170731707318,46.09756097560975,25.829268292682926,8.231707317073171,5.109756097560975,17.036585365853657,23.5609756097561,113.34146341463415,
1610612738,2018,0.46582926829268295,0.3630121951219512,0.8063780487804879,44.548780487804876,26.28048780487805,8.609756097560975,5.304878048780488,12.829268292682928,20.365853658536587,112.39024390243902,
1610612739,2018,0.4447560975609756,0.3520243902439024,0.7861951219512195,42.65853658536585,20.70731707317073,6.512195121951219,2.3780487804878048,13.487804878048781,20.024390243902438,104.47560975609755,
1610612740,2018,0.47456097560975613,0.3440731707317073,0.7574634146341463,47.292682926829265,27.024390243902438,7.439024390243903,5.378048780487805,14.817073170731707,21.121951219512194,115.4390243902439,
1610612741,2018,0.4541829268292683,0.34918292682926827,0.7882926829268293,42.890243902439025,21.902439024390244,7.353658536585366,4.280487804878049,14.134146341463415,20.28048780487805,104.9390243902439,
1610612742,2018,0.4476585365853658,0.3414512195121951,0.7415243902439025,45.31707317073171,23.390243902439025,6.5,4.280487804878049,14.231707317073171,20.121951219512194,108.86585365853658,
1610612743,2018,0.4669512195121951,0.3497073170731707,0.7637804878048781,46.390243902439025,27.378048780487806,7.7317073170731705,4.426829268292683,13.439024390243903,20.048780487804876,110.67073170731707,
1610612744,2018,0.4914024390243903,0.3845,0.8035853658536586,46.18292682926829,29.426829268292682,7.621951219512195,6.402439024390244,14.25609756097561,21.426829268292682,117.6829268292683,
1610612745,2018,0.45079268292682934,0.35363414634146345,0.7921463414634147,42.0609756097561,21.23170731707317,8.536585365853659,4.939024390243903,13.341463414634147,21.98780487804878,113.91463414634147,
1610612746,2018,0.47200000000000003,0.38753658536585367,0.7894512195121951,45.51219512195122,24.024390243902438,6.841463414634147,4.695121951219512,14.548780487804878,23.329268292682926,115.14634146341463,
1610612747,2018,0.47102439024390247,0.33117073170731703,0.6976829268292684,46.58536585365854,25.5609756097561,7.536585365853658,5.365853658536586,15.658536585365853,20.74390243902439,111.76829268292683,
1610612748,2018,0.4518536585365854,0.3505731707317073,0.6891951219512196,46.34146341463415,24.28048780487805,7.646341463414634,5.463414634146342,14.731707317073171,20.878048780487806,105.70731707317073,
1610612749,2018,0.47680487804878047,0.3532439024390244,0.7718414634146341,49.73170731707317,26.048780487804876,7.5,5.926829268292683,13.865853658536585,19.609756097560975,118.1219512195122,
1610612750,2018,0.45720731707317075,0.3553292682926829,0.7866219512195122,44.792682926829265,24.609756097560975,8.329268292682928,5.012195121951219,13.097560975609756,20.29268292682927,112.47560975609755,
1610612751,2018,0.4496219512195122,0.3527804878048781,0.746719512195122,46.573170731707314,23.829268292682926,6.573170731707317,4.134146341463414,15.073170731707316,21.5,112.2439024390244,
1610612752,2018,0.4334878048780488,0.3391463414634146,0.7600121951219512,44.73170731707317,20.073170731707318,6.7926829268292686,5.146341463414634,14.036585365853659,20.890243902439025,104.57317073170732,
1610612753,2018,0.4542926829268293,0.35691463414634145,0.7820243902439025,45.41463414634146,25.548780487804876,6.621951219512195,5.426829268292683,13.195121951219512,18.609756097560975,107.3170731707317,
1610612754,2018,0.47619512195121955,0.3723658536585366,0.751609756097561,43.02439024390244,25.951219512195124,8.695121951219512,4.926829268292683,13.682926829268293,19.4390243902439,108.01219512195122,
1610612755,2018,0.4719024390243902,0.3589390243902439,0.771109756097561,47.76829268292683,26.914634146341463,7.390243902439025,5.2682926829268295,14.914634146341463,21.28048780487805,115.1829268292683,
1610612756,2018,0.4597073170731707,0.3275609756097561,0.7786219512195122,40.3780487804878,23.865853658536587,8.963414634146341,5.097560975609756,15.597560975609756,23.5609756097561,107.5,
1610612757,2018,0.46902439024390247,0.362109756097561,0.8122317073170731,47.98780487804878,23.01219512195122,6.658536585365853,5.036585365853658,13.841463414634147,20.353658536585368,114.65853658536585,
1610612758,2018,0.4643048780487805,0.37678048780487805,0.7194024390243903,45.426829268292686,25.402439024390244,8.28048780487805,4.426829268292683,13.353658536585366,21.353658536585368,114.1829268292683,
1610612759,2018,0.47959756097560974,0.3966707317073171,0.8196219512195122,44.71951219512195,24.548780487804876,6.109756097560975,4.7073170731707314,12.097560975609756,18.134146341463413,111.65853658536585,
1610612760,2018,0.4548536585365854,0.35132926829268296,0.7139756097560975,48.073170731707314,23.378048780487806,9.341463414634147,5.182926829268292,13.963414634146341,22.426829268292682,114.47560975609755,
1610612761,2018,0.4758780487804878,0.3651829268292683,0.8084268292682927,45.19512195121951,25.426829268292682,8.292682926829269,5.329268292682927,14.024390243902438,21.024390243902438,114.4390243902439,
1610612762,2018,0.4685,0.3545,0.7383048780487804,46.353658536585364,26.01219512195122,8.085365853658537,5.890243902439025,15.121951219512194,21.073170731707318,111.71951219512195,
1610612763,2018,0.4506951219512195,0.3398292682926829,0.7750365853658536,41.78048780487805,23.9390243902439,8.341463414634147,5.463414634146342,13.987804878048781,21.963414634146343,103.53658536585365,
1610612764,2018,0.4682195121951219,0.33919512195121954,0.765219512195122,42.353658536585364,26.26829268292683,8.329268292682928,4.621951219512195,14.073170731707316,20.74390243902439,114.02439024390245,
1610612765,2018,0.44109756097560976,0.345780487804878,0.7526707317073171,44.97560975609756,22.5,6.939024390243903,4.036585365853658,13.841463414634147,22.085365853658537,107.04878048780488,
1610612766,2018,0.4486951219512195,0.3512073170731707,0.7924878048780487,43.80487804878049,23.23170731707317,7.2073170731707314,4.939024390243903,12.207317073170731,18.902439024390244,110.7439024390244,
