PLAYER_ID,TEAM_ID,SEASON,PER,MIN,Team
1630552.0,1610612737.0,,,,Atlanta Hawks
1630235.0,1610612737.0,,,,Atlanta Hawks
1641754.0,1610612737.0,,,,Atlanta Hawks
1641723.0,1610612737.0,,,,Atlanta Hawks
1627749.0,1610612737.0,,,,Atlanta Hawks
1629027,1610612737,2018-19,,323,Atlanta Hawks
1629631.0,1610612737.0,,,,Atlanta Hawks
203992,1610612737,2018-19,,280,Atlanta Hawks
1631100.0,1610612737.0,,,,Atlanta Hawks
203991,1610612737,2018-19,,303,Atlanta Hawks
1630168.0,1610612737.0,,,,Atlanta Hawks
1631243.0,1610612737.0,,,,Atlanta Hawks
1628981.0,1610612737.0,,,,Atlanta Hawks
1629726.0,1610612737.0,,,,Atlanta Hawks
1630249.0,1610612737.0,,,,Atlanta Hawks
202083,1610612737,2018-19,,288,Atlanta Hawks
1630180.0,1610612737.0,,,,Atlanta Hawks
