Team,Player_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,GP,PER
Cleveland Cavaliers,8151205.0,41.0,5.0,13.0,2.1109999999999998,3.0,8.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,3.0,13.0,5.0,2.6
Cleveland Cavaliers,8148180.0,145.0,30.0,71.0,2.04,8.0,28.0,1.422,13.0,14.0,3.75,0.0,10.0,10.0,34.0,7.0,0.0,19.0,4.0,81.0,5.0,14.2
Cleveland Cavaliers,1013420.0,138.0,11.0,25.0,2.5599999999999996,0.0,0.0,0.0,2.0,6.0,0.5,12.0,24.0,36.0,7.0,4.0,6.0,7.0,12.0,24.0,5.0,10.4
Cleveland Cavaliers,8138885.0,114.0,21.0,41.0,2.394,14.0,28.0,2.3,9.0,10.0,3.5,0.0,10.0,10.0,5.0,6.0,0.0,4.0,9.0,65.0,5.0,12.2
Cleveland Cavaliers,8138725.0,138.0,25.0,38.0,3.2109999999999994,1.0,3.0,1.0,8.0,12.0,1.833,10.0,24.0,34.0,12.0,1.0,11.0,6.0,14.0,59.0,5.0,18.8
Cleveland Cavaliers,8141930.0,155.0,19.0,40.0,2.3360000000000003,1.0,4.0,1.0,13.0,21.0,2.3810000000000002,15.0,34.0,49.0,9.0,1.0,4.0,8.0,5.0,52.0,5.0,15.6
Cleveland Cavaliers,8148655.0,165.0,18.0,41.0,1.712,10.0,26.0,1.485,7.0,9.0,2.3,6.0,28.0,34.0,8.0,9.0,0.0,6.0,16.0,53.0,5.0,14.6
Cleveland Cavaliers,8150855.0,184.0,32.0,84.0,1.905,7.0,32.0,0.861,13.0,19.0,3.75,6.0,20.0,26.0,16.0,1.0,1.0,8.0,16.0,84.0,5.0,12.4
Cleveland Cavaliers,8141890.0,161.0,54.0,119.0,2.29,15.0,47.0,1.612,42.0,48.0,4.382,4.0,15.0,19.0,19.0,4.0,2.0,13.0,10.0,165.0,5.0,25.0
New Orleans Pelicans,8148135.0,181.0,54.0,99.0,2.766,0.0,3.0,0.0,32.0,45.0,3.666,20.0,19.0,39.0,22.0,8.0,3.0,20.0,5.0,140.0,5.0,26.8
New Orleans Pelicans,1017340.0,176.0,50.0,96.0,2.6,22.0,43.0,2.489,10.0,14.0,2.5,3.0,12.0,15.0,24.0,3.0,1.0,8.0,6.0,132.0,5.0,23.4
New Orleans Pelicans,8151150.0,159.0,29.0,64.0,2.269,7.0,19.0,1.7,10.0,13.0,3.0,7.0,30.0,37.0,16.0,5.0,1.0,14.0,14.0,75.0,5.0,16.4
New Orleans Pelicans,8138710.0,166.0,35.0,85.0,2.023,11.0,30.0,1.7799999999999998,16.0,21.0,3.25,3.0,18.0,21.0,23.0,4.0,0.0,14.0,11.0,97.0,5.0,15.2
New Orleans Pelicans,1013425.0,164.0,47.0,64.0,3.7,0.0,1.0,0.0,16.0,18.0,3.333,21.0,56.0,77.0,9.0,2.0,12.0,7.0,14.0,110.0,5.0,36.8
New Orleans Pelicans,8131020.0,123.0,12.0,29.0,2.19,5.0,16.0,1.65,1.0,4.0,0.5,4.0,24.0,28.0,15.0,5.0,0.0,9.0,9.0,30.0,5.0,9.8
New Orleans Pelicans,1017345.0,135.0,25.0,39.0,3.159,0.0,0.0,0.0,13.0,17.0,3.047,13.0,26.0,39.0,10.0,3.0,1.0,8.0,16.0,63.0,5.0,18.0
Chicago Bulls,8148160.0,175.0,28.0,68.0,1.998,17.0,44.0,1.859,3.0,4.0,0.75,2.0,22.0,24.0,28.0,3.0,1.0,10.0,13.0,76.0,5.0,16.2
Chicago Bulls,8141830.0,170.0,29.0,80.0,1.978,18.0,48.0,2.321,6.0,8.0,1.5,5.0,26.0,31.0,24.0,6.0,2.0,15.0,7.0,82.0,5.0,15.4
Chicago Bulls,1015415.0,128.0,27.0,51.0,2.512,0.0,0.0,0.0,12.0,22.0,2.904,24.0,42.0,66.0,7.0,2.0,7.0,8.0,15.0,66.0,5.0,21.2
Chicago Bulls,8144875.0,81.0,14.0,31.0,2.909,5.0,14.0,2.567,1.0,1.0,1.0,3.0,11.0,14.0,9.0,3.0,0.0,2.0,3.0,34.0,5.0,8.2
Chicago Bulls,8139680.0,122.0,21.0,44.0,1.92,5.0,12.0,1.916,5.0,9.0,1.5,3.0,11.0,14.0,24.0,5.0,1.0,10.0,13.0,52.0,5.0,11.8
Chicago Bulls,1019485.0,168.0,48.0,93.0,2.586,18.0,40.0,2.282,19.0,22.0,3.5469999999999997,4.0,15.0,19.0,13.0,3.0,0.0,10.0,14.0,133.0,5.0,22.0
Chicago Bulls,1013480.0,166.0,37.0,98.0,1.825,7.0,34.0,1.1440000000000001,4.0,4.0,2.0,11.0,58.0,69.0,27.0,2.0,3.0,9.0,13.0,85.0,5.0,23.2
Chicago Bulls,1009710.0,153.0,42.0,78.0,2.699,1.0,1.0,1.0,29.0,35.0,4.099,1.0,17.0,18.0,20.0,4.0,0.0,13.0,11.0,114.0,5.0,20.2
Chicago Bulls,8142350.0,95.0,16.0,30.0,2.688,6.0,14.0,2.084,4.0,4.0,2.0,6.0,18.0,24.0,8.0,3.0,3.0,1.0,12.0,42.0,5.0,13.0
Chicago Bulls,8150860.0,127.0,20.0,36.0,3.018,5.0,10.0,2.083,8.0,11.0,2.25,8.0,12.0,20.0,4.0,5.0,5.0,8.0,6.0,53.0,5.0,12.0
Dallas Mavericks,1019785.0,103.0,8.0,23.0,1.375,2.0,10.0,0.667,1.0,2.0,0.5,2.0,12.0,14.0,9.0,4.0,2.0,7.0,8.0,19.0,5.0,5.0
Dallas Mavericks,8148420.0,105.0,15.0,30.0,2.4530000000000003,4.0,9.0,1.5,4.0,7.0,2.5,5.0,14.0,19.0,8.0,2.0,2.0,4.0,15.0,38.0,5.0,9.4
Dallas Mavericks,1019695.0,122.0,15.0,20.0,3.75,0.0,0.0,0.0,9.0,11.0,2.5,10.0,19.0,29.0,15.0,2.0,7.0,6.0,14.0,39.0,5.0,15.8
Dallas Mavericks,8150910.0,81.0,9.0,19.0,2.75,1.0,4.0,0.5,2.0,6.0,0.833,4.0,8.0,12.0,7.0,1.0,0.0,0.0,11.0,21.0,5.0,5.4
Dallas Mavericks,1017505.0,133.0,31.0,60.0,2.598,16.0,38.0,2.228,15.0,15.0,4.0,1.0,11.0,12.0,15.0,3.0,1.0,3.0,6.0,93.0,5.0,18.4
Dallas Mavericks,1013405.0,158.0,48.0,85.0,2.7939999999999996,20.0,35.0,3.138,12.0,13.0,3.833,0.0,16.0,16.0,15.0,9.0,7.0,6.0,14.0,128.0,5.0,26.2
Dallas Mavericks,8130790.0,126.0,25.0,43.0,2.7729999999999997,0.0,0.0,0.0,8.0,9.0,3.833,4.0,17.0,21.0,10.0,5.0,8.0,4.0,15.0,58.0,5.0,15.8
